M,K,N,It1
512,1280,2048,
512,1280,2304,
512,1280,2560,
512,1280,2816,
512,1280,3072,
512,1280,3328,
512,1280,3584,
512,1280,3840,
512,1280,4096,
512,1536,256,
512,1536,512,
512,1536,768,
512,1536,1024,
512,1536,1280,
512,1536,1536,
512,1536,1792,
512,1536,2048,
512,1536,2304,
512,1536,2560,
512,1536,2816,
512,1536,3072,
512,1536,3328,
512,1536,3584,
512,1536,3840,
512,1536,4096,
512,1792,256,
512,1792,512,
512,1792,768,
512,1792,1024,
512,1792,1280,
512,1792,1536,
512,1792,1792,
512,1792,2048,
512,1792,2304,
512,1792,2560,
512,1792,2816,
512,1792,3072,
512,1792,3328,
512,1792,3584,
512,1792,3840,
512,1792,4096,
512,2048,256,
512,2048,512,
512,2048,768,
512,2048,1024,
512,2048,1280,
512,2048,1536,
512,2048,1792,
512,2048,2048,
512,2048,2304,
512,2048,2560,
512,2048,2816,
512,2048,3072,
512,2048,3328,
512,2048,3584,
512,2048,3840,
512,2048,4096,
512,2304,256,
512,2304,512,
512,2304,768,
512,2304,1024,
512,2304,1280,
512,2304,1536,
512,2304,1792,
512,2304,2048,
512,2304,2304,
512,2304,2560,
512,2304,2816,
512,2304,3072,
512,2304,3328,
512,2304,3584,
512,2304,3840,
512,2304,4096,
512,2560,256,
512,2560,512,
512,2560,768,
512,2560,1024,
512,2560,1280,
512,2560,1536,
512,2560,1792,
512,2560,2048,
512,2560,2304,
512,2560,2560,
512,2560,2816,
512,2560,3072,
512,2560,3328,
512,2560,3584,
512,2560,3840,
512,2560,4096,
512,2816,256,
512,2816,512,
512,2816,768,
512,2816,1024,
512,2816,1280,
512,2816,1536,
512,2816,1792,
512,2816,2048,
512,2816,2304,
512,2816,2560,
512,2816,2816,
512,2816,3072,
512,2816,3328,
512,2816,3584,
512,2816,3840,
512,2816,4096,
512,3072,256,
512,3072,512,
512,3072,768,
512,3072,1024,
512,3072,1280,
512,3072,1536,
512,3072,1792,
512,3072,2048,
512,3072,2304,
512,3072,2560,
512,3072,2816,
512,3072,3072,
512,3072,3328,
512,3072,3584,
512,3072,3840,
512,3072,4096,
512,3328,256,
512,3328,512,
512,3328,768,
512,3328,1024,
512,3328,1280,
512,3328,1536,
512,3328,1792,
512,3328,2048,
512,3328,2304,
512,3328,2560,
512,3328,2816,
512,3328,3072,
512,3328,3328,
512,3328,3584,
512,3328,3840,
512,3328,4096,
512,3584,256,
512,3584,512,
512,3584,768,
512,3584,1024,
512,3584,1280,
512,3584,1536,
512,3584,1792,
512,3584,2048,
512,3584,2304,
512,3584,2560,
512,3584,2816,
512,3584,3072,
512,3584,3328,
512,3584,3584,
512,3584,3840,
512,3584,4096,
512,3840,256,
512,3840,512,
512,3840,768,
512,3840,1024,
512,3840,1280,
512,3840,1536,
512,3840,1792,
512,3840,2048,
512,3840,2304,
512,3840,2560,
512,3840,2816,
512,3840,3072,
512,3840,3328,
512,3840,3584,
512,3840,3840,
512,3840,4096,
512,4096,256,
512,4096,512,
512,4096,768,
512,4096,1024,
512,4096,1280,
512,4096,1536,
512,4096,1792,
512,4096,2048,
512,4096,2304,
512,4096,2560,
512,4096,2816,
512,4096,3072,
512,4096,3328,
512,4096,3584,
512,4096,3840,
512,4096,4096,
768,256,256,
768,256,512,
768,256,768,
768,256,1024,
768,256,1280,
768,256,1536,
768,256,1792,
768,256,2048,
768,256,2304,
768,256,2560,
768,256,2816,
768,256,3072,
768,256,3328,
