mtk,ktn,Avg GOPs,Min GOPs,Max GOPs
88,N/A,4121.26,3843.48,4281.96
176,N/A,4865.25,4530.93,5097.76
264,N/A,4795.07,4326.13,5038.25
352,N/A,5007.05,4575.20,5296.38
528,N/A,5030.73,4742.56,5255.50
704,N/A,5108.75,4872.70,5356.19
1056,N/A,5130.08,4839.03,5368.79
1408,N/A,5201.15,4829.43,5474.92
2112,N/A,5062.09,4675.20,5285.25
