M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
192_400_224,0.0172032,68.15415821501014,86.71,47.79,130.33
192_400_2016,0.1548288,93.41983317886933,337.76,96.98,762.70
192_400_2912,0.2236416,94.77110002169668,261.62,124.45,892.78
192_400_3808,0.2924544,95.50242434375522,225.56,169.15,883.55
192_400_4704,0.3612672,95.9608323133415,258.95,195.54,984.38
192_400_5600,0.43008,96.27507163323783,281.14,239.93,1022.78
192_400_6496,0.4988928,96.50391205308507,344.79,271.95,1107.42
192_400_7392,0.5677056,96.67800156944807,374.94,292.10,1137.69
192_2000_224,0.086016,93.69771332961517,295.04,55.09,521.31
192_2000_1120,0.43008,140.82145850796311,294.61,225.76,1083.32
192_2000_2016,0.774144,149.15655519384433,509.59,415.76,1298.90
192_2000_2912,1.118208,152.63121112586484,683.40,515.54,1306.32
192_2000_3808,1.462272,154.53709214869326,907.38,678.08,1371.09
192_2000_4704,1.806336,155.740961462058,1057.90,692.08,1427.93
192_2000_5600,2.1504,156.57036346691518,1222.70,827.71,1473.89
192_2000_6496,2.494464,157.176500951705,1363.49,1121.11,1501.33
192_2000_7392,2.838528,157.63882965111318,1089.34,873.53,1480.33
192_3600_224,0.1548288,97.76915615906887,268.89,86.96,685.08
192_3600_1120,0.774144,150.2235469448584,484.89,415.98,1243.60
192_3600_2016,1.3934592,159.74643423137877,839.46,668.01,1302.30
192_3600_2912,2.0127744,163.73859802574034,1190.64,898.76,1453.79
192_3600_3808,2.6320896,165.93395952357898,1337.26,858.48,1530.28
192_3600_4704,3.2514048,167.32274128527388,1208.64,914.99,1502.15
192_3600_5600,3.87072,168.28046744574291,1252.99,901.22,1478.50
192_3600_6496,4.4900352,168.98086594600844,1353.32,1120.13,1509.26
192_3600_7392,5.1093504,169.5153646231463,1333.70,981.91,1538.96
192_5200_224,0.2236416,99.43091281584339,222.19,123.35,896.36
192_5200_1120,1.118208,154.182845040593,709.03,505.63,1383.92
192_5200_2016,2.0127744,164.2311066549693,1206.32,941.87,1491.50
192_5200_2912,2.9073408,168.45352873119938,1190.77,901.08,1521.37
192_5200_3808,3.8019072,170.77804098341804,1303.34,1016.69,1551.17
192_5200_4704,4.6964736,172.24945073516986,1377.06,1130.05,1555.64
192_5200_5600,5.59104,173.26457754859183,1380.74,1011.22,1552.42
192_5200_6496,6.4856064,174.00717062516313,1345.19,1072.62,1538.15
192_5200_7392,7.3801728,174.57399266068379,1385.67,1217.45,1541.87
192_6800_224,0.2924544,100.33374319339539,238.25,170.78,916.78
192_6800_1120,1.462272,156.36463180947166,883.72,676.51,1336.63
192_6800_2016,2.6320896,166.70882381554625,1327.81,813.63,1504.05
192_6800_2912,3.8019072,171.06130065193855,1292.30,911.29,1543.30
192_6800_3808,4.9717248,173.4588521105375,1364.66,1098.72,1556.10
192_6800_4704,6.1415424,174.97702507548902,1395.30,1124.62,1549.72
192_6800_5600,7.31136,176.0246533127889,1423.35,1134.42,1583.92
192_6800_6496,8.4811776,176.7911459278312,1413.82,1197.74,1548.51
192_6800_7392,9.6509952,177.37628094740705,1439.38,1337.54,1579.67
960_400_1120,0.43008,144.206008583691,299.63,235.66,1083.32
960_400_2016,0.774144,152.95902883156296,483.05,393.97,1246.61
960_400_2912,1.118208,156.61527429186089,693.33,542.56,1359.52
960_400_3808,1.462272,158.6226048319911,907.35,709.67,1398.63
960_400_4704,1.806336,159.89123045547248,1064.91,872.42,1400.26
960_2000_224,0.43008,153.70539798719122,312.04,237.94,1109.88
960_2000_1120,2.1504,340.77079107505074,1251.09,869.20,1454.45
960_2000_2016,3.87072,394.05785770132917,1276.52,976.10,1551.08
960_2000_2912,5.59104,419.27433288539066,1368.05,1193.90,1538.32
960_2000_3808,7.31136,433.9765993010181,1414.06,1262.43,1564.43
960_2000_4704,9.03168,443.60618634477555,1443.06,1247.73,1594.15
960_3600_224,0.774144,164.97545008183306,511.29,406.70,1260.82
960_3600_1120,3.87072,401.59362549800795,1310.13,1002.91,1525.71
960_3600_2016,6.967296,477.7251184834123,1417.50,1126.66,1572.75
960_3600_2912,10.063872,515.2968934329532,1465.30,1304.03,1580.75
960_3600_3808,13.160448,537.6843426419831,1494.11,1328.53,1600.93
960_3600_4704,16.257024,552.5450274079875,1523.14,1342.28,1617.69
960_5200_224,1.118208,169.76292265837543,709.41,534.13,1367.00
960_5200_1120,5.59104,431.1944718657453,1406.05,1109.66,1568.31
960_5200_2016,10.063872,520.2064311234617,1467.90,1323.67,1601.76
960_5200_2912,14.536704,565.0711513583441,1517.55,1344.56,1614.29
960_5200_3808,19.009536,592.1058926720357,1546.83,1432.63,1621.97
960_5200_4704,23.482368,610.1776092596289,1573.96,1504.75,1622.21
960_6800_224,1.462272,172.41171143978266,892.83,728.04,1435.01
960_6800_1120,7.31136,448.70384917517674,1449.33,1212.20,1576.57
960_6800_2016,13.160448,545.9063395985983,1502.41,1326.06,1616.76
960_6800_2912,19.009536,595.5249017563558,1549.98,1439.14,1617.08
960_6800_3808,24.858624,625.6297918948521,1555.75,1456.36,1615.46
960_6800_4704,30.707712,645.8407365530609,1581.90,1516.06,1632.00
1728_400_224,0.1548288,99.57194599934145,242.58,95.84,668.81
1728_400_1120,0.774144,154.5222278998467,501.11,398.73,1353.40
1728_400_2016,1.3934592,164.61622210125205,858.37,648.72,1349.60
1728_400_2912,2.0127744,168.8587259997423,1200.70,992.25,1422.96
1728_400_3808,2.6320896,171.19451197176062,1270.48,850.30,1484.54
1728_400_4704,3.2514048,172.67313810261848,1189.47,888.12,1483.31
1728_2000_224,0.774144,165.48101127284667,502.25,389.80,1293.47
