M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
3456_1920_6720,44.5906944,2085.5172413793102,5725.99,4913.85,6247.82
3456_1920_7616,50.53612032,2124.2975206611573,5812.09,5274.34,6327.69
3456_3456_448,5.350883328,711.5294117647059,3246.73,2555.95,5460.08
3456_3456_1344,16.052649984,1512.0,5385.22,3808.01,6212.33
3456_3456_2240,26.75441664,1950.967741935484,5954.72,5281.69,6401.34
3456_3456_3136,37.456183296,2228.2105263157896,5888.25,5124.32,6428.04
3456_3456_4032,48.157949952,2419.2,5981.99,5442.50,6398.03
3456_3456_4928,58.859716608,2558.769230769231,5946.83,5236.63,6305.27
3456_3456_5824,69.561483264,2665.2203389830506,6015.31,5329.97,6321.47
3456_3456_6720,80.26324992,2749.090909090909,6049.50,5738.21,6345.92
3456_3456_7616,90.965016576,2816.876712328767,6093.39,5645.09,6329.32
3456_4992_448,7.729053696,734.803738317757,4638.17,3291.76,5714.64
3456_4992_1344,23.187161088,1621.1134020618556,5620.71,4824.63,6241.50
3456_4992_2240,38.64526848,2136.521739130435,5954.22,5079.89,6385.01
3456_4992_3136,54.103375872,2473.56404494382,6066.21,5596.13,6488.38
3456_4992_4032,69.561483264,2711.1724137931033,6157.59,5533.05,6463.32
3456_4992_4928,85.019590656,2887.6928213689484,6156.49,5715.03,6432.59
3456_4992_5824,100.477698048,3024.0,6208.59,5880.19,6412.11
3456_4992_6720,115.93580544,3132.430278884462,6251.25,5916.90,6458.82
3456_4992_7616,131.393912832,3220.742168674699,6314.70,6172.50,6477.23
3456_6528_448,10.107224064,747.7527272727273,5400.77,3521.07,6120.03
3456_6528_1344,30.321672192,1685.5081967213114,5828.13,4841.78,6370.77
3456_6528_2240,50.53612032,2249.8030634573306,6125.49,5793.77,6459.12
3456_6528_3136,70.750568448,2626.6861313868612,6230.26,5764.50,6495.94
3456_6528_4032,90.965016576,2896.225352112676,6234.80,5710.48,6490.08
3456_6528_4928,111.179464704,3098.564383561644,6254.23,5836.35,6470.13
3456_6528_5824,131.393912832,3256.0487210718634,6309.35,6041.24,6526.30
3456_6528_6720,151.60836096,3382.1052631578946,6365.23,6161.94,6517.57
3456_6528_7616,171.822809088,3485.2881355932204,6397.75,6110.12,6528.47
4224_384_448,0.726663168,394.24,767.13,409.16,2805.65
4224_384_1344,2.179989504,557.8867924528302,1453.93,1084.30,4723.70
4224_384_2240,3.63331584,608.395061728395,2252.12,1742.60,5242.88
4224_384_3136,5.086642176,632.954128440367,3197.78,2506.35,5562.21
4224_384_4032,6.539968512,647.4744525547445,4009.74,2958.59,5549.40
4224_384_4928,7.993294848,657.0666666666667,4659.50,3939.52,5359.23
4224_384_5824,9.446621184,663.8756476683938,3515.41,2598.80,4364.34
4224_384_6720,10.89994752,668.9592760180996,3492.92,2724.31,4108.54
4224_384_7616,12.353273856,672.8995983935743,3615.18,2934.27,4064.25
4224_1920_448,3.63331584,668.9592760180996,2206.45,1805.82,5390.68
4224_1920_1344,10.89994752,1331.8918918918919,5148.99,3500.30,6033.74
4224_1920_2240,18.1665792,1661.123595505618,5539.00,4611.98,6236.38
4224_1920_3136,25.43321088,1857.9533213644524,5630.92,5095.30,6391.86
4224_1920_4032,32.69984256,1988.8789237668161,5655.16,4863.52,6275.76
4224_1920_4928,39.96647424,2082.2535211267605,5767.50,5005.82,6275.16
4224_1920_5824,47.23310592,2152.206047032475,5872.17,5179.07,6338.74
4224_1920_6720,54.4997376,2206.5671641791046,5853.86,5311.87,6229.97
4224_1920_7616,61.76636928,2250.0268576544313,5908.54,5262.76,6238.40
4224_3456_448,6.539968512,725.100817438692,3911.84,3252.10,5584.94
4224_3456_1344,19.619905536,1574.6272189349113,5718.39,4963.29,6266.34
4224_3456_2240,32.69984256,2056.5069551777433,6308.79,5705.78,6438.24
4224_3456_3136,45.779779584,2366.9428208386275,5955.33,5275.38,6434.26
4224_3456_4032,58.859716608,2583.6116504854367,6025.19,5595.56,6392.58
4224_3456_4928,71.939653632,2743.422680412371,6014.11,5593.19,6356.50
4224_3456_5824,85.019590656,2866.1607290803645,6096.21,5808.54,6414.88
4224_3456_6720,98.09952768,2963.3853006681516,6131.29,5838.21,6377.14
4224_3456_7616,111.179464704,3042.3026227303294,6186.61,5903.13,6426.00
4224_4992_448,9.446621184,749.2865497076024,5121.85,3500.69,5952.50
4224_4992_1344,28.339863552,1693.3215859030836,5670.44,4757.80,6249.14
4224_4992_2240,47.23310592,2263.7455830388694,6032.98,5593.69,6447.33
4224_4992_3136,66.126348288,2645.7109144542774,6179.84,5616.78,6516.52
4224_4992_4032,85.019590656,2919.372151898734,6235.47,5813.50,6545.76
4224_4992_4928,103.912833024,3125.0731707317073,6183.98,5715.62,6428.86
4224_4992_5824,122.806075392,3285.3333333333335,6236.71,5833.33,6445.50
4224_4992_6720,141.69931776,3413.7122557726466,6312.69,6153.35,6490.44
4224_4992_7616,160.592560128,3518.86268174475,6349.34,6109.20,6502.51
4224_6528_448,12.353273856,762.7556904400607,4900.39,3694.16,6168.93
4224_6528_1344,37.059821568,1763.7052631578947,5960.87,5107.12,6436.79
4224_6528_2240,61.76636928,2391.3225499524265,6191.34,5771.48,6499.33
4224_6528_3136,86.472916992,2821.645549318364,6290.85,6065.30,6543.54
4224_6528_4032,111.179464704,3135.068607068607,6319.57,5885.31,6514.10
4224_6528_4928,135.886012416,3373.530201342282,6319.50,5972.22,6482.65
4224_6528_5824,160.592560128,3561.0506811989103,6366.89,6054.27,6521.92
4224_6528_6720,185.29910784,3712.3781388478583,6393.85,6146.93,6554.62
4224_6528_7616,210.005655552,3837.0687022900765,6429.48,6235.04,6552.44
4992_384_448,0.858783744,397.09090909090907,753.82,494.41,3018.57
4992_384_1344,2.576351232,563.6129032258065,1658.27,1389.62,4802.15
4992_384_2240,4.29391872,615.2112676056338,2687.41,2224.25,5278.33
4992_384_3136,6.011486208,640.3350785340314,3626.42,2655.84,5535.44
4992_384_4032,7.729053696,655.2,4642.69,3921.39,5868.68
4992_384_4928,9.446621184,665.0242214532872,4607.02,2974.85,5574.87
4992_384_5824,11.164188672,672.0,3840.00,2824.95,4639.18
4992_384_6720,12.88175616,677.2093023255813,3697.81,3028.51,4262.66
4992_384_7616,14.599323648,681.2477064220184,3518.19,2746.56,4031.29
4992_1920_448,4.29391872,677.2093023255813,2591.99,2026.87,5401.16
4992_1920_1344,12.88175616,1365.0,4619.39,3615.93,6047.77
4992_1920_2240,21.4695936,1712.9411764705883,5759.44,4694.86,6266.67
4992_1920_3136,30.05743104,1923.0188679245282,5715.85,4822.31,6350.61
4992_1920_4032,38.64526848,2063.6220472440946,5823.21,4984.88,6388.18
4992_1920_4928,47.23310592,2164.324324324324,5765.65,5291.04,6277.66
4992_1920_5824,55.82094336,2240.0,5912.52,5445.15,6278.37
4992_1920_6720,64.4087808,2298.9473684210525,5861.74,5421.16,6225.78
4992_1920_7616,72.99661824,2346.1611374407585,5966.94,5539.49,6303.41
4992_3456_448,7.729053696,734.803738317757,4641.34,3973.81,5544.51
4992_3456_1344,23.187161088,1621.1134020618556,5629.98,5036.31,6375.35
4992_3456_2240,38.64526848,2136.521739130435,5973.19,5368.14,6434.98
4992_3456_3136,54.103375872,2473.56404494382,6053.87,5499.99,6411.87
4992_3456_4032,69.561483264,2711.1724137931033,6115.79,5589.96,6507.46
4992_3456_4928,85.019590656,2887.6928213689484,6107.38,5713.11,6368.99
4992_3456_5824,100.477698048,3024.0,6148.47,5938.40,6408.83
4992_3456_6720,115.93580544,3132.430278884462,6184.28,5837.80,6397.52
4992_3456_7616,131.393912832,3220.742168674699,6225.98,5928.53,6430.48
4992_4992_448,11.164188672,759.6521739130435,5348.04,3541.38,6127.44
4992_4992_1344,33.492566016,1747.2,5893.92,5383.79,6413.74
4992_4992_2240,55.82094336,2361.0810810810813,6129.80,5445.15,6487.79
4992_4992_3136,78.149320704,2779.6363636363635,6260.36,5818.79,6517.60
4992_4992_4032,100.477698048,3083.294117647059,6260.48,5957.59,6539.39
4992_4992_4928,122.806075392,3313.655172413793,6262.94,5995.95,6463.48
4992_4992_5824,145.134452736,3494.4,6300.69,6080.20,6437.97
4992_4992_6720,167.46283008,3640.0,6355.00,6184.35,6503.79
4992_4992_7616,189.791207424,3759.7974683544303,6375.18,6198.78,6514.65
4992_6528_448,14.599323648,773.5,5085.59,3851.05,6089.39
4992_6528_1344,43.797970944,1822.2331288343557,5991.50,5317.22,6430.48
4992_6528_2240,72.99661824,2500.2020202020203,6249.73,5946.04,6496.96
4992_6528_3136,102.195265536,2974.489270386266,6312.13,5870.59,6537.57
4992_6528_4032,131.393912832,3324.89552238806,6335.67,5975.57,6529.05
4992_6528_4928,160.592560128,3594.3498349834986,6347.40,6197.85,6472.77
4992_6528_5824,189.791207424,3808.0,6403.47,6092.23,6542.38
4992_6528_6720,218.98985472,3981.554959785523,6428.91,6311.49,6504.20
4992_6528_7616,248.188502016,4125.333333333333,6446.46,6304.88,6515.76
5760_384_448,0.99090432,399.2079207920792,729.93,569.49,3039.58
5760_384_1344,2.97271296,567.887323943662,1853.45,1499.86,5051.34
5760_384_2240,4.9545216,620.3076923076923,3122.68,2538.18,5541.97
5760_384_3136,6.93633024,645.8581235697941,4216.51,3663.23,5421.13
5760_384_4032,8.91813888,660.983606557377,5118.57,3707.40,5874.93
5760_384_4928,10.89994752,670.983358547655,4354.61,3197.40,5869.65
5760_384_5824,12.88175616,678.085381630013,4065.91,3441.10,4834.59
5760_384_6720,14.8635648,683.3898305084746,3675.17,3086.93,4234.63
5760_384_7616,16.84537344,687.5025075225677,3546.72,3040.13,4021.82
5760_1920_448,4.9545216,683.3898305084746,2961.76,2502.92,4702.92
5760_1920_1344,14.8635648,1390.344827586207,5124.22,4326.46,6140.70
5760_1920_2240,24.772608,1753.0434782608695,5823.34,5062.35,6339.76
5760_1920_3136,34.6816512,1973.7062937062938,5776.40,4746.68,6344.98
5760_1920_4032,44.5906944,2122.1052631578946,5831.17,5301.79,6344.27
5760_1920_4928,54.4997376,2228.743718592965,5861.65,5499.19,6284.20
5760_1920_5824,64.4087808,2309.074889867841,5934.54,5379.05,6321.40
5760_1920_6720,74.317824,2371.764705882353,5955.61,5630.99,6281.35
5760_1920_7616,84.2268672,2422.0494699646642,6017.72,5690.43,6295.92
5760_3456_448,8.91813888,742.0858895705521,5363.00,4538.49,5989.35
5760_3456_1344,26.75441664,1656.986301369863,5639.69,4714.02,6243.01
5760_3456_2240,44.5906944,2199.2727272727275,5991.64,5328.72,6481.21
5760_3456_3136,62.42697216,2558.0664652567975,6173.04,5744.64,6451.07
5760_3456_4032,80.26324992,2813.0232558139537,6156.93,5843.70,6460.60
5760_3456_4928,98.09952768,3003.5214446952596,6136.60,5831.45,6337.38
5760_3456_5824,115.93580544,3151.2625250501,6184.16,5876.12,6398.58
5760_3456_6720,133.7720832,3269.189189189189,6278.63,5967.71,6525.31
5760_3456_7616,151.60836096,3365.4991816693946,6271.54,6063.00,6437.04
5760_4992_448,12.88175616,767.4377745241582,4965.18,3684.19,6062.00
5760_4992_1344,38.64526848,1788.9419795221843,5923.13,5213.88,6366.60
5760_4992_2240,64.4087808,2437.953488372093,6162.75,5852.68,6421.29
5760_4992_3136,90.17229312,2886.7977970102284,6253.58,5963.97,6515.34
5760_4992_4032,115.93580544,3215.705521472393,6300.27,5966.23,6562.28
