mtk,ktn,Avg GOPs,Min GOPs,Max GOPs
40,N/A,2552.25,2478.05,2600.55
80,N/A,2746.96,2651.78,2796.17
160,N/A,2787.90,2708.37,2830.16
320,N/A,2790.67,2692.36,2832.47
520,N/A,2785.50,2702.06,2827.75
1040,N/A,2763.94,2662.79,2802.71
