M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
5440_3360_6528,119.3213952,1575.7241379310344,2802.04,2733.84,2830.81
5440_4000_384,8.35584,329.16498588140377,2460.17,1821.64,2728.44
5440_4000_1920,41.7792,1047.4967907573812,2740.97,2612.10,2828.27
5440_4000_3456,75.20256,1382.7904349463379,2786.76,2684.32,2826.42
5440_4000_4992,108.62592,1576.9287944105843,2799.23,2754.17,2831.86
5440_4000_6528,142.04928,1703.5490605427974,2811.29,2764.33,2833.22
5440_4640_384,9.6927744,332.9440731621527,2443,2100,2675
5440_4640_1920,48.463872,1086.7508610792192,2756,2644,2811
5440_4640_3456,87.2349696,1452.0265893983296,2798,2727,2834
5440_4640_4992,126.0060672,1667.6080769752,2805,2745,2828
5440_4640_6528,164.7771648,1809.866156787763,2816,2787,2835
5440_5280_384,11.0297088,335.86529466791393,2515,2006,2721
5440_5280_1920,55.148544,1118.5046728971963,2774,2655,2836
5440_5280_3456,99.2673792,1509.2760392340028,2803.67,2751.96,2833.78
5440_5280_4992,143.3862144,1743.563690698543,2809,2784,2829
5440_5280_6528,187.5050496,1899.6825396825398,2830,2794,2847
5440_5920_384,12.3666432,338.1909829179502,2512,2093,2735
5440_5920_1920,61.833216,1144.7203791469194,2788,2721,2838
5440_5920_3456,111.2997888,1557.4036394898983,2810,2726,2837
5440_5920_4992,160.7663616,1808.1124035471612,2819,2768,2840
5440_5920_6528,210.2329344,1976.5630114566284,2829,2796,2845
5440_6560_384,13.7035776,340.0864040660737,2557,2304,2765
5440_6560_1920,68.517888,1166.7306015693111,2792,2703,2843
5440_6560_3456,123.3321984,1598.4286662242866,2817,2758,2844
5440_6560_4992,178.1465088,1863.644349223353,2813,2783,2832
5440_6560_6528,232.9608192,2043.1145038167938,2834,2816,2849
5440_7200_384,15.040512,341.6608513607816,2584,2301,2741
5440_7200_1920,75.20256,1185.4721549636804,2791,2701,2839
5440_7200_3456,135.364608,1633.8153503893216,2815,2767,2841
5440_7200_4992,195.526656,1911.9255031541004,2826,2789,2841
5440_7200_6528,255.688704,2101.2875536480688,2842,2828,2852
5440_7840_384,16.3774464,342.98949174351276,2598,2196,2758
5440_7840_1920,81.887232,1201.6228399699473,2805,2719,2843
5440_7840_3456,147.3970176,1664.6513241586676,2820,2789,2841
5440_7840_4992,212.9068032,1954.2889369301627,2831,2800,2847
5440_7840_6528,278.4165888,2152.57065948856,2831,2814,2844
6720_160_384,0.4128768,111.07438016528926,298.49,228.30,1146.88
6720_160_1920,2.064384,144.51612903225808,1290.52,950.89,1941.12
6720_160_3456,3.7158912,149.51792336217554,1500.99,1039.99,1872.93
6720_160_4992,5.3673984,151.53512575888985,1451.28,1158.39,1644.68
6720_160_6528,7.0189056,152.625250501002,1388.18,1203.62,1563.40
6720_800_384,2.064384,249.81412639405204,1310.83,1105.72,2337.92
6720_800_1920,10.32192,520.9302325581396,2458.70,2042.12,2716.65
6720_800_3456,18.579456,592.360430950049,2585.92,2385.65,2758.85
6720_800_4992,26.836992,625.3400143163923,2658.40,2526.43,2780.89
6720_800_6528,35.094528,644.331641285956,2705.81,2545.48,2794.60
6720_1440_384,3.7158912,290.0719424460432,2171.98,1368.15,2564.45
