M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
384_384_448,0.066060288,268.8,335.47,143.14,569.49
384_384_1344,0.198180864,336.0,760.14,174.07,1542.26
384_384_3136,0.462422016,361.84615384615387,550.21,284.39,2466.25
384_384_4032,0.594542592,366.54545454545456,1468.48,375.82,2752.51
384_384_4928,0.726663168,369.6,711.08,442.14,3053.21
384_384_5824,0.858783744,371.74468085106383,828.47,493.84,3381.04
384_384_6720,0.99090432,373.3333333333333,849.20,578.29,3676.82
384_384_7616,1.123024896,374.55737704918033,849.07,625.47,3826.32
384_1920_448,0.33030144,373.3333333333333,671.53,207.87,1989.77
384_1920_1344,0.99090432,516.9230769230769,786.04,558.89,3458.65
384_1920_2240,1.6515072,560.0,1116.22,815.16,4323.32
384_1920_4032,2.97271296,592.9411764705883,1836.94,1412.22,4548.91
384_1920_4928,3.63331584,600.9756097560976,2304.45,1906.25,5168.30
384_1920_5824,4.29391872,606.6666666666666,2611.54,2076.87,5425.04
384_1920_6720,4.9545216,610.9090909090909,3034.22,2559.81,5215.29
384_1920_7616,5.61512448,614.1935483870968,3447.60,2872.19,5689.08
384_3456_448,0.594542592,390.19354838709677,1267.49,337.52,2607.64
384_3456_1344,1.783627776,549.8181818181819,1134.54,944.22,4526.97
384_3456_2240,2.97271296,598.8118811881188,1880.70,1552.33,4983.59
384_3456_4032,5.350883328,636.6315789473684,3311.50,2916.01,5418.62
384_3456_4928,6.539968512,645.9029126213592,3839.73,3265.90,5608.89
384_3456_5824,7.729053696,652.4813278008298,4625.95,3239.34,5487.44
384_3456_6720,8.91813888,657.3913043478261,5244.71,4340.78,5844.13
384_3456_7616,10.107224064,661.1961414790997,5283.90,3446.04,5857.56
384_4992_448,0.858783744,397.09090909090907,845.46,468.64,3034.57
384_4992_1344,2.576351232,563.6129032258065,1609.84,1343.95,4916.70
384_4992_2240,4.29391872,615.2112676056338,2610.58,2156.12,5377.48
384_4992_4032,7.729053696,655.2,4606.65,3207.08,5446.83
384_4992_4928,9.446621184,665.0242214532872,5182.78,4466.49,5896.77
384_4992_5824,11.164188672,672.0,4544.51,3493.72,5970.15
384_4992_6720,12.88175616,677.2093023255813,4887.01,3578.76,6016.70
384_4992_7616,14.599323648,681.2477064220184,5065.30,4047.50,6062.84
384_6528_448,1.123024896,400.8421052631579,980.51,582.78,4159.35
384_6528_1344,3.369074688,571.2,2102.38,1677.41,5326.60
384_6528_2240,5.61512448,624.2622950819672,3330.61,2652.40,5475.50
384_6528_4032,10.107224064,665.4757281553398,5315.23,3454.87,5893.43
384_6528_4928,12.353273856,675.6129032258065,4881.18,3499.51,6071.90
384_6528_5824,14.599323648,682.8137931034482,5135.63,3856.13,6117.46
384_6528_6720,16.84537344,688.1927710843373,5412.06,4661.79,5972.48
384_6528_7616,19.091423232,692.3636363636364,5624.36,4419.82,6133.79
1152_384_448,0.198180864,350.60869565217394,737.77,111.59,1234.77
1152_384_1344,0.594542592,474.3529411764706,1075.99,334.11,2660.15
1152_384_2240,0.99090432,510.37974683544303,838.78,557.00,3440.64
1152_384_3136,1.387266048,527.5514018691589,1027.02,758.90,4104.34
1152_384_4032,1.783627776,537.6,1191.79,956.88,4436.89
1152_384_4928,2.179989504,544.1963190184049,1410.35,1148.27,4527.50
1152_384_5824,2.576351232,548.8586387434555,1615.98,1338.02,4692.81
1152_384_6720,2.97271296,552.3287671232877,1789.49,1579.97,4849.45
1152_384_7616,3.369074688,555.0121457489879,2098.01,1766.23,4819.85
1152_1920_448,0.99090432,552.3287671232877,728.37,587.03,3170.89
1152_1920_1344,2.97271296,937.6744186046511,1964.75,1652.88,4901.42
1152_1920_2240,4.9545216,1089.7297297297298,3021.44,2494.10,5234.57
1152_1920_3136,6.93633024,1171.1203319502074,4319.04,3711.25,5385.35
1152_1920_4032,8.91813888,1221.8181818181818,5071.71,3342.63,5921.74
1152_1920_4928,10.89994752,1256.4305949008499,4611.46,3441.18,5966.04
1152_1920_5824,12.88175616,1281.5647921760392,4540.93,3527.80,5925.37
1152_1920_6720,14.8635648,1300.6451612903227,5228.18,3964.15,6018.86
1152_1920_7616,16.84537344,1315.623800383877,5418.32,4642.52,6078.07
1152_3456_448,1.783627776,590.0487804878048,1137.99,933.59,4382.38
1152_3456_1344,5.350883328,1051.8260869565217,3254.87,2814.03,5465.66
1152_3456_2240,8.91813888,1247.0103092783504,5170.73,4294.79,5975.30
1152_3456_3136,12.485394432,1354.752,4610.81,3502.21,5972.44
1152_3456_4032,16.052649984,1423.0588235294117,5413.94,4578.62,6142.20
1152_3456_4928,19.619905536,1470.232044198895,5643.83,4942.66,6136.01
1152_3456_5824,23.187161088,1504.7655502392345,5638.46,4956.11,6147.18
