M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
320_352_384,0.04325376,175.26970954356847,226.85,100.12,366.56
320_352_1152,0.12976128,206.721044045677,388.27,88.88,1123.47
320_352_2688,0.30277632,217.89240972733973,415.23,181.41,1922.39
320_352_3456,0.38928384,219.87275882012725,346.36,242.09,2395.59
320_352_4224,0.47579136,221.15183246073298,595.45,264.84,1730.15
320_352_4992,0.56229888,222.04609785685403,453.51,315.90,2019.03
320_352_5760,0.6488064,222.70650263620388,480.11,373.52,2203.08
320_352_6528,0.73531392,223.2141746969226,480.52,413.10,2116.01
320_352_7296,0.82182144,223.61660629701868,521.51,448.59,2067.48
320_1760_384,0.2162688,291.3103448275862,605.60,140.48,1188.29
320_1760_1152,0.6488064,389.9076923076923,672.55,380.42,3089.55
320_1760_1920,1.081344,418.2178217821782,906.58,563.49,3438.30
320_1760_2688,1.5138816,431.64963503649636,1138.09,779.55,3227.89
320_1760_3456,1.9464192,439.4913294797688,1187.85,984.78,3060.41
320_1760_4224,2.3789568,444.63157894736844,1444.86,1194.56,2025.51
320_1760_4992,2.8114944,448.2612244897959,1736.02,1355.59,3371.10
320_1760_5760,3.244032,450.9608540925267,1939.05,1310.72,3242.41
320_1760_6528,3.6765696,453.0473186119874,2246.33,1776.98,3651.01
320_1760_7296,4.1091072,454.7082152974504,2489.46,1766.22,3626.75
320_3168_384,0.38928384,314.44168734491313,652.23,235.36,1961.13
320_3168_1152,1.16785152,432.4914675767918,943.53,603.85,3285.10
320_3168_1920,1.9464192,467.6014760147601,1207.03,949.01,3444.99
320_3168_2688,2.72498688,484.4565811032223,1698.24,1371.41,3857.02
320_3168_3456,3.50355456,494.3563068920676,2093.77,1765.01,3651.44
320_3168_4224,4.28212224,500.8695652173913,2630.04,2156.70,3764.50
320_3168_4992,5.06068992,505.48020865296104,3075.88,2612.64,4364.54
320_3168_5760,5.8392576,508.9156626506024,3530.90,2970.12,4128.14
320_3168_6528,6.61782528,511.5744478746141,4201.69,3601.54,4545.21
320_3168_7296,7.39639296,513.693193940687,4232.69,3569.69,4717.09
320_4576_384,0.56229888,324.34731246308326,674.95,319.22,2550.11
320_4576_1152,1.68689664,451.45519320361745,3943.47,3639.47,4026.01
320_4576_1920,2.8114944,489.84834968777875,1726.04,1463.56,4227.81
320_4576_2688,3.93609216,508.37719878322974,2364.76,1941.83,4185.11
320_4576_3456,5.06068992,519.2896921298728,2990.36,2202.69,3888.35
320_4576_4224,6.18528768,526.4813039309684,3810.56,2473.62,4454.65
320_4576_4992,7.30988544,531.5779283639883,4224.11,2471.64,4684.32
320_4576_5760,8.4344832,535.3786155346116,3700.14,2674.64,4559.18
320_4576_6528,9.55908096,538.3218960844242,3753.05,2949.88,4644.84
320_4576_7296,10.68367872,540.6684976939421,3762.59,2638.60,4632.99
320_5984_384,0.73531392,329.8484152503445,1172.84,432.41,2602.88
320_5984_1152,2.20594176,462.18408066938423,1667.93,1078.17,4158.23
320_5984_1920,3.6765696,502.50524842547236,2243.01,1841.51,4525.01
320_5984_2688,5.14719744,522.0230553536193,3249.00,2634.86,4505.21
320_5984_3456,6.61782528,533.5358705522992,3901.31,3382.48,4512.67
320_5984_4224,8.08845312,541.1303692539562,4071.99,2594.12,4770.54
320_5984_4992,9.55908096,546.5160119430947,3587.24,2738.99,4708.91
320_5984_5760,11.0297088,550.534117045745,3853.59,2870.45,4663.72
320_5984_6528,12.50033664,553.6468774094063,4063.70,3564.40,4726.03
320_5984_7296,13.97096448,556.1292952349896,4090.63,3343.14,4749.61
320_7392_384,0.90832896,333.34836527621195,757.96,503.79,3534.35
320_7392_1152,2.72498688,469.0851401374934,1639.14,1328.29,4456.23
320_7392_1920,4.5416448,510.6735751295337,2742.28,1925.65,4658.10
320_7392_2688,6.35830272,530.8438061041293,3775.21,3108.43,4811.43
320_7392_3456,8.17496064,542.7534162757495,4265.95,3119.02,4942.54
320_7392_4224,9.99161856,550.6145251396648,3710.47,2982.13,4785.26
320_7392_4992,11.80827648,556.1915786427435,4068.84,3354.15,4823.64
320_7392_5760,13.6249344,560.3537586860392,4140.61,3080.13,4767.30
320_7392_6528,15.44159232,563.5788765556676,4088.89,3418.17,4776.24
320_7392_7296,17.25825024,566.1513655144613,3996.98,3063.78,4755.65
960_352_384,0.12976128,214.41624365482232,590.43,109.13,1072.41
960_352_1152,0.38928384,263.4511434511434,601.79,219.31,1961.13
960_352_1920,0.6488064,276.078431372549,512.25,377.98,2280.51
960_352_2688,0.90832896,281.86844613918015,700.08,490.59,2655.93
960_352_3456,1.16785152,285.1912978244561,751.44,607.94,2770.70
960_352_4224,1.42737408,287.3469387755102,1189.55,717.81,2758.21
960_352_4992,1.68689664,288.8584955286691,1023.28,851.32,2155.78
960_352_5760,1.9464192,289.9771167048055,1241.33,1061.59,2641.00
960_352_6528,2.20594176,290.83839611178615,1333.22,1160.11,2237.26
960_1760_384,0.6488064,418.2178217821782,757.27,391.20,2833.22
960_1760_1152,1.9464192,656.580310880829,1255.50,1035.33,4128.14
960_1760_1920,3.244032,741.0526315789474,1992.45,1653.85,4369.07
960_1760_2688,4.5416448,784.2970822281167,2777.30,1875.16,3739.52
960_1760_3456,5.8392576,810.5756929637527,3523.24,3050.81,4477.96
960_1760_4224,7.1368704,828.2352941176471,3884.36,3144.00,4477.33
960_1760_4992,8.4344832,840.9188361408882,3454.00,2394.12,4602.72
960_1760_5760,9.732096,850.4697986577181,3503.44,2631.36,4675.52
960_1760_6528,11.0297088,857.921146953405,3777.21,3006.19,4821.73
960_3168_384,1.16785152,467.6014760147601,1124.63,619.55,3380.18
960_3168_1152,3.50355456,787.0807453416149,2181.71,1858.16,4658.98
960_3168_1920,5.8392576,911.6546762589928,3563.16,2227.45,4572.64
960_3168_2688,8.17496064,977.9933847850056,4384.36,2726.80,5077.62
960_3168_3456,10.51066368,1019.1957104557641,3897.17,3120.74,5035.05
960_3168_4224,12.84636672,1047.2727272727273,4298.31,3560.52,4906.94
960_3168_4992,15.18206976,1067.6344782890474,4632.97,3927.58,5021.36
960_3168_5760,17.5177728,1083.076923076923,4341.56,3795.01,4891.87
960_3168_6528,19.85347584,1095.190645653279,4232.68,3573.34,4851.78
960_4576_384,1.68689664,489.84834968777875,1431.15,873.13,4227.81
960_4576_1152,5.06068992,852.2296947749612,3189.68,2701.20,4875.42
960_4576_1920,8.4344832,1000.2185792349727,4478.77,2947.06,5174.53
960_4576_2688,11.80827648,1080.640989597976,4184.13,3459.79,5122.90
960_4576_3456,15.18206976,1131.1696040283819,4673.03,3702.94,5085.27
960_4576_4224,18.55586304,1165.8598726114649,4253.28,3683.18,4888.27
960_4576_4992,21.92965632,1191.1496746203904,4350.11,3691.55,4912.01
960_4576_5760,25.3034496,1210.4041146216018,4371.29,3609.11,4902.82
960_4576_6528,28.67724288,1225.5533674675069,4359.07,3994.04,4915.96
960_5984_384,2.20594176,502.50524842547236,1747.07,1112.15,2519.64
960_5984_1152,6.61782528,891.2867190732313,3962.37,3065.94,4790.32
960_5984_1920,11.0297088,1054.4493392070485,4407.77,3368.88,5232.31
960_5984_2688,15.44159232,1144.2203505577054,4774.65,3732.11,5243.33
960_5984_3456,19.85347584,1201.0258316298086,4508.80,3815.04,5105.03
960_5984_4224,24.26535936,1240.2072538860104,4478.45,4070.69,4979.55
960_5984_4992,28.67724288,1268.865026505369,4579.73,3768.61,5154.07
960_5984_5760,33.0891264,1290.7369682444578,4528.45,4147.55,4984.43
960_5984_6528,37.50100992,1307.9781420765028,4600.29,4063.17,5018.87
960_7392_384,2.72498688,510.6735751295337,1568.14,1323.13,4610.81
960_7392_1152,8.17496064,917.311271975181,4630.72,3304.35,5237.00
960_7392_1920,13.6249344,1091.070110701107,4577.95,3748.78,5255.52
960_7392_2688,19.07490816,1187.4698795180723,4601.00,4011.97,5319.27
960_7392_3456,24.52488192,1248.7658376349132,4618.56,4104.93,5146.88
960_7392_4224,29.97485568,1291.17903930131,4569.85,4074.61,4943.08
960_7392_4992,35.42482944,1322.2703818369453,4590.89,4056.43,5025.51
960_7392_5760,40.8748032,1346.0394537177542,4680.32,4218.25,5003.65
960_7392_6528,46.32477696,1364.800434428455,4711.59,4316.51,5129.25
1600_352_1152,0.6488064,278.7505499340079,607.01,379.42,2616.15
1600_352_1920,1.081344,292.9264909847434,729.30,567.78,2962.59
1600_352_2688,1.5138816,299.4531091756127,945.75,808.48,3147.36
1600_352_3456,1.9464192,303.2062529909076,1219.50,1020.40,3263.07
1600_352_4224,2.3789568,305.643994211288,1460.80,1247.81,2901.17
1600_352_4992,2.8114944,307.35475204298666,1719.83,1407.51,2689.14
1600_352_5760,3.244032,308.6215294690696,1967.03,1691.36,2753.85
1600_352_6528,3.6765696,309.5973096490472,2182.67,1345.00,2613.98
1600_1760_384,1.081344,458.1344902386117,3489.39,2186.74,3684.31
1600_1760_1152,3.244032,760.6242496998799,2041.18,1618.78,4556.22
1600_1760_1920,5.40672,876.3485477178423,3315.85,2459.84,4855.61
1600_1760_2688,7.569408,937.4762206721623,4414.49,3786.60,4988.08
1600_1760_3456,9.732096,975.2693689071318,3764.99,2867.44,4845.45
1600_1760_4224,11.894784,1000.9478672985782,3939.25,3200.96,4824.49
1600_1760_4992,14.057472,1019.5321203119198,4171.31,3487.77,4848.24
1600_1760_5760,16.22016,1033.605220228385,4217.12,3291.76,4890.75
1600_1760_6528,18.382848,1044.6319464649403,4246.31,3368.06,4985.18
1600_3168_384,1.9464192,518.0703188879804,1498.29,1038.64,4277.84
1600_3168_1152,5.8392576,941.4561664190193,3531.23,2935.78,4870.11
1600_3168_1920,9.732096,1125.399644760213,4004.73,3033.70,5114.08
1600_3168_2688,13.6249344,1228.2470229853227,4392.81,3254.49,5106.80
1600_3168_3456,17.5177728,1293.9414567733152,4705.86,3728.38,5153.80
1600_3168_4224,21.4106112,1339.5348837209303,4659.19,4159.02,5116.04
1600_3168_4992,25.3034496,1373.02883813969,4769.92,4421.36,5132.02
