M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
256_184_256,0.012058624,107.05454545454545,61.01,27.59,128.97
256_184_1280,0.06029312,128.5589519650655,247.20,42.27,456.77
256_184_2304,0.108527616,131.49379652605458,296.56,70.77,682.56
256_184_3328,0.156762112,132.6585788561525,182.12,97.88,895.78
256_184_4352,0.204996608,133.28362183754993,497.92,117.92,938.20
256_184_5376,0.253231104,133.6735135135135,402.57,149.18,1042.10
256_184_6400,0.3014656,133.93994540491354,242.12,172.12,1168.47
256_184_7424,0.349700096,134.13354281225452,263.70,192.99,1169.57
256_920_256,0.06029312,200.2721088435374,307.34,155.00,563.49
256_920_1280,0.3014656,291.48514851485146,585.05,180.63,1638.40
256_920_2304,0.54263808,307.02201622247975,501.90,323.00,1966.08
256_920_3328,0.78381056,313.44799344799344,550.65,427.26,2278.52
256_920_4352,1.02498304,316.96010132995565,706.13,555.55,2305.92
256_920_5376,1.26615552,319.1739803820341,775.54,678.90,2087.64
256_920_6400,1.507328,320.6971677559913,922.54,759.17,2159.50
256_920_7424,1.74850048,321.80927252167356,1110.42,921.96,2675.59
256_1656_256,0.108527616,221.72384937238493,445.80,65.26,769.70
256_2392_256,0.156762112,231.25075528700907,632.96,140.66,1131.86
256_3864_256,0.253231104,240.09320388349514,335.44,153.52,1682.60
256_3864_2304,2.279079936,411.70255271920087,1433.95,1168.76,2969.49
256_3864_3328,3.292004352,423.3405319989465,2007.24,1523.37,2735.36
256_3864_4352,4.304928768,429.7722347168268,2501.86,1854.77,3022.06
256_3864_5376,5.317853184,433.85263157894735,2823.26,2182.58,3191.03
256_3864_6400,6.3307776,436.6718463059754,2710.85,1967.00,3243.23
256_3864_7424,7.343702016,438.7363269301358,2584.12,1915.42,3178.40
256_4600_256,0.3014656,242.50411861614498,681.52,173.11,1590.85
256_4600_2304,2.7131904,418.84287069238064,1661.80,1173.78,2984.81
256_4600_3328,3.9190528,430.8939428056744,2408.98,1901.99,3160.53
256_4600_4352,5.1249152,437.55901381360377,2765.37,2195.76,3110.72
256_4600_5376,6.3307776,441.78933828783767,2607.15,1808.79,3211.96
256_4600_6400,7.53664,444.7129909365559,2637.61,1990.66,3285.37
256_4600_7424,8.7425024,446.854391290694,2778.55,1881.93,3269.45
256_5336_256,0.349700096,244.28040057224607,615.44,184.10,1517.14
256_5336_2304,3.147300864,424.17002484129176,1910.53,1579.18,2966.35
256_5336_3328,4.546101248,436.53411996066865,2705.19,2298.33,3184.66
256_5336_4352,5.944901632,443.37620284099586,2405.87,1849.11,3147.95
256_5336_5376,7.343702016,447.7203146460232,2598.09,1793.77,3197.78
256_5336_6400,8.7425024,450.72326047935803,2727.98,2109.93,3604.41
256_5336_7424,10.141302784,452.9230769230769,2919.99,2491.11,3259.30
256_6072_256,0.397934592,245.64348925410872,831.93,244.13,1846.56
256_6072_2304,3.581411328,428.29684055841295,2184.53,1905.01,3050.61
256_6072_3328,5.173149696,440.9062663641124,2913.01,1674.97,3325.72
256_6072_4352,6.764888064,447.88718644067797,2458.46,1872.63,3145.00
256_6072_5376,8.356626432,452.3205853009644,2737.11,1951.80,3273.26
256_6072_6400,9.9483648,455.3857691947127,2842.94,2232.33,3299.62
256_6072_7424,11.540103168,457.6314464387233,2889.95,2350.09,3300.94
256_6808_256,0.446169088,246.72253680634202,676.95,236.76,1974.20
256_6808_2304,4.015521792,431.5879374862426,2460.39,2178.80,3062.95
256_6808_3328,5.800198144,444.39479052251687,2627.78,1853.10,3254.88
256_6808_4352,7.584874496,451.4875045714982,2611.67,2071.52,3151.17
256_6808_5376,9.369550848,455.99282368184987,2842.58,2151.94,3184.76
256_6808_6400,11.1542272,459.108151395094,2837.95,2399.53,3316.26
256_6808_7424,12.938903552,461.3907836120646,2846.70,2271.78,3237.96
256_7544_256,0.494403584,247.59794871794873,562.74,260.28,2077.33
256_7544_2304,4.449632256,434.27383569858085,2623.43,1653.52,3392.78
256_7544_3328,6.427246592,447.24298133105316,2417.64,1933.59,3198.43
256_7544_4352,8.404860928,454.4276381353117,2627.59,2014.83,3092.30
256_7544_5376,10.382475264,458.9921231326392,3002.75,2507.24,3318.68
256_7544_6400,12.3600896,462.14870970212115,2883.54,2498.50,3261.24
256_7544_7424,14.337703936,464.46175280302526,2895.88,2280.89,3202.17
1280_184_256,0.06029312,128.5589519650655,260.88,54.17,408.77
1280_184_1280,0.3014656,160.87431693989072,393.80,173.36,1305.05
1280_184_2304,0.54263808,165.49656464709557,404.80,309.99,1610.20
1280_184_3328,0.78381056,167.34586794927853,506.06,428.66,1806.02
1280_184_4352,1.02498304,168.34174234779684,650.93,535.10,1952.35
1280_184_5376,1.26615552,168.96419786827002,798.45,653.33,1843.02
