M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
6720_2080_384,5.3673984,309.23893805309734,2155.57,1354.38,2604.27
6720_2080_1920,26.836992,869.2537313432836,2642.11,2344.46,2739.59
6720_2080_3456,48.3065856,1088.2214532871972,2713.79,2636.39,2762.11
6720_2080_4992,69.7761792,1204.9655172413793,2731.03,2638.99,2770.60
6720_2080_6528,91.2457728,1277.5225806451613,2747.98,2677.71,2775.79
6720_2720_384,7.0189056,320.44880785413744,2293.99,1686.02,2662.21
6720_2720_1920,35.094528,964.0506329113924,2733.61,2635.61,2819.18
6720_2720_3456,63.1701504,1240.9897404948701,2783.44,2658.62,2833.89
6720_2720_4992,91.2457728,1395.1338656646312,2805.67,2722.90,2837.91
6720_2720_6528,119.3213952,1493.3333333333333,2815.58,2758.05,2843.35
6720_3360_384,8.6704128,327.8048780487805,2463,1870,2685
6720_3360_1920,43.352064,1033.8461538461538,2740,2633,2812
6720_3360_3456,78.0337152,1359.1011235955057,2784,2686,2823
6720_3360_4992,112.7153664,1546.1946902654868,2795,2756,2817
6720_3360_6528,147.3970176,1667.7372262773722,2795,2755,2814
6720_4000_384,10.32192,333.0029732408325,2448,2231,2715
6720_4000_1920,51.6096,1087.378640776699,2746,2662,2799
6720_4000_3456,92.89728,1453.1475252282557,2777,2691,2809
6720_4000_4992,134.18496,1669.086740542606,2789,2754,2811
6720_4000_6528,175.47264,1811.6079923882016,2790,2747,2808
6720_4640_384,11.9734272,336.8712186689715,2437,2086,2618
6720_4640_1920,59.867136,1129.7391304347825,2739,2608,2795
6720_4640_3456,107.7608448,1529.8037505451373,2774,2728,2811
6720_4640_4992,155.6545536,1771.0171268787137,2796,2741,2818
6720_4640_6528,203.5482624,1932.3184601924759,2806,2781,2822
6720_5280_384,13.6249344,339.86206896551727,2330,1959,2609
6720_5280_1920,68.124672,1164.0944881889764,2726,2621,2772
6720_5280_3456,122.6244096,1593.4850299401198,2772,2739,2798
6720_5280_4992,177.1241472,1856.927536231884,2795,2769,2818
6720_5280_6528,231.6238848,2035.0445344129555,2805,2787,2827
6720_5920_384,15.2764416,342.2436338609773,2327,2011,2482
6720_6560_384,16.9279488,344.1848844472205,2395,2086,2635
6720_7200_384,18.579456,345.7975986277873,2373,2096,2731
6720_7840_384,20.2309632,347.15867158671585,2409,2250,2733
