M_K_N,GMACs,Arith Int (OPs/Byte),Avg GOPs,Min GOPs,Max GOPs
192_400_224,0.0172032,68.15415821501014,85.83,40.53,165.42
192_400_2016,0.1548288,93.41983317886933,267.19,96.50,787.93
192_400_2912,0.2236416,94.77110002169668,198.37,133.16,787.47
192_400_3808,0.2924544,95.50242434375522,226.34,165.84,916.78
192_400_4704,0.3612672,95.9608323133415,266.25,204.97,1019.09
192_400_5600,0.43008,96.27507163323783,306.73,230.85,1118.54
192_400_6496,0.4988928,96.50391205308507,336.28,268.44,1112.36
192_400_7392,0.5677056,96.67800156944807,372.15,301.57,1135.41
192_2000_224,0.086016,93.69771332961517,224.13,54.94,599.41
192_2000_1120,0.43008,140.82145850796311,298.06,234.25,1102.77
192_2000_2016,0.774144,149.15655519384433,508.54,383.52,1249.63
192_2000_2912,1.118208,152.63121112586484,669.68,570.37,1320.20
192_2000_3808,1.462272,154.53709214869326,896.50,723.54,1389.33
192_2000_4704,1.806336,155.740961462058,1069.92,755.00,1441.61
192_2000_5600,2.1504,156.57036346691518,1273.59,923.31,1483.55
192_2000_6496,2.494464,157.176500951705,1412.11,1218.89,1487.01
192_2000_7392,2.838528,157.63882965111318,1122.19,818.26,1484.97
192_3600_224,0.1548288,97.76915615906887,270.93,93.81,733.79
192_3600_1120,0.774144,150.2235469448584,497.61,395.27,1274.31
192_3600_2016,1.3934592,159.74643423137877,862.72,692.40,1396.25
192_3600_2912,2.0127744,163.73859802574034,1174.27,939.01,1413.47
192_3600_3808,2.6320896,165.93395952357898,1297.46,858.20,1517.49
192_3600_4704,3.2514048,167.32274128527388,1476.31,1301.86,1531.51
192_3600_5600,3.87072,168.28046744574291,1289.46,931.02,1521.21
192_3600_6496,4.4900352,168.98086594600844,1365.21,1070.71,1515.62
192_3600_7392,5.1093504,169.5153646231463,1395.44,1145.34,1539.89
192_5200_224,0.2236416,99.43091281584339,209.02,128.60,949.65
192_5200_1120,1.118208,154.182845040593,707.29,497.76,1336.77
192_5200_2016,2.0127744,164.2311066549693,1195.56,729.00,1451.69
192_5200_2912,2.9073408,168.45352873119938,1139.23,831.38,1492.47
192_5200_3808,3.8019072,170.77804098341804,1310.01,1048.66,1546.12
192_5200_4704,4.6964736,172.24945073516986,1485.97,1272.58,1568.37
192_5200_5600,5.59104,173.26457754859183,1388.72,1104.73,1547.26
192_5200_6496,6.4856064,174.00717062516313,1429.12,1146.68,1576.09
192_5200_7392,7.3801728,174.57399266068379,1452.08,1220.67,1562.27
192_6800_224,0.2924544,100.33374319339539,237.81,158.34,890.27
192_6800_1120,1.462272,156.36463180947166,891.50,716.80,1314.99
192_6800_2016,2.6320896,166.70882381554625,1274.21,865.82,1488.74
192_6800_2912,3.8019072,171.06130065193855,1280.10,967.04,1513.20
192_6800_3808,4.9717248,173.4588521105375,1440.07,1217.22,1553.42
192_6800_4704,6.1415424,174.97702507548902,1431.47,1161.96,1554.23
192_6800_5600,7.31136,176.0246533127889,1467.97,1299.10,1567.11
192_6800_6496,8.4811776,176.7911459278312,1467.34,1253.50,1554.61
192_6800_7392,9.6509952,177.37628094740705,1498.54,1380.69,1582.65
960_400_1120,0.43008,144.206008583691,321.07,235.02,1056.71
960_400_2016,0.774144,152.95902883156296,510.57,400.90,1271.17
960_400_2912,1.118208,156.61527429186089,695.97,587.14,1350.49
960_400_3808,1.462272,158.6226048319911,912.46,695.99,1384.73
960_400_4704,1.806336,159.89123045547248,1109.10,919.25,1410.10
960_2000_224,0.43008,153.70539798719122,285.17,221.75,1090.19
960_2000_1120,2.1504,340.77079107505074,1258.09,1063.50,1457.90
960_2000_2016,3.87072,394.05785770132917,1307.62,1044.87,1523.01
960_2000_2912,5.59104,419.27433288539066,1410.59,1150.42,1552.20
960_2000_3808,7.31136,433.9765993010181,1464.55,1349.08,1560.59
960_2000_4704,9.03168,443.60618634477555,1476.76,1297.28,1588.55
960_3600_224,0.774144,164.97545008183306,493.92,395.88,1239.62
960_3600_1120,3.87072,401.59362549800795,1313.53,1002.52,1511.70
960_3600_2016,6.967296,477.7251184834123,1453.84,1295.76,1574.53
960_3600_2912,10.063872,515.2968934329532,1499.78,1387.64,1578.77
960_3600_3808,13.160448,537.6843426419831,1528.45,1370.45,1586.07
960_3600_4704,16.257024,552.5450274079875,1544.90,1421.88,1594.22
