m_k_n,Total Size,Avg DDR BW (GB/s),Max DDR BW (GB/s),Min DDR BW (GB/s)
32_16_16,64,2.12901,2.29935,1.93003
32_32_32,64,4.23002,4.57047,3.5242
32_64_64,64,8.07055,8.88744,5.69284
32_128_128,64,12.8959,14.9421,9.0121
32_256_256,64,17.1579,21.5013,11.5543
