m_k_n,Total Size,Avg DDR BW (GB/s),Max DDR BW (GB/s),Min DDR BW (GB/s)
32_32_32,256,4.33024,4.53693,4.1673
32_64_64,256,6.90288,7.13104,6.6773
32_128_128,256,13.6205,14.2454,11.4875
