m_k_n,Total Size,Avg DDR BW (GB/s),Max DDR BW (GB/s),Min DDR BW (GB/s)
32_16_32,64,3.23683,3.3447,2.88667
32_32_32,64,6.9862,7.57029,5.56947
32_64_32,64,17.8858,22.6533,9.71623
32_128_32,64,19.8016,25.1965,10.4141
32_256_32,64,22.9475,28.5809,11.1418
32_512_32,64,22.3127,28.4692,10.996
